piece,run,mae,mape,wape,r2
4848A3015,1,319.5943298339844,36.12233,42.51809,0.6283751726150513
4848A3015,2,367.2152099609375,39.909744,48.85346,0.5353536009788513
4848A3015,3,224.26734924316406,33.44983,29.836008,0.8349675536155701
4848A3015,4,294.9543762207031,34.55237,39.240044,0.6859807968139648
4848A3015,5,251.8949737548828,35.953793,33.511524,0.8107984662055969
4848A3015,6,193.21868896484375,29.86168,25.705368,0.8847397565841675
4848A3015,7,239.10438537597656,34.816093,31.809893,0.8078763484954834
4848A3015,8,266.47991943359375,32.789288,35.45187,0.7349156141281128
4848A3015,9,343.7953186035156,38.708504,45.737732,0.592115044593811
4848A3015,10,180.01087951660156,31.643305,23.94823,0.903157114982605
4851S3020,1,489.9230651855469,47.701485,49.761345,0.5236800909042358
4851S3020,2,311.82098388671875,29.679096,31.671568,0.8052369356155396
4851S3020,3,430.9413757324219,43.565853,43.77059,0.6502114534378052
4851S3020,4,439.60089111328125,43.163364,44.65014,0.6266785860061646
4851S3020,5,649.1058959960938,61.454803,65.929504,0.12656331062316895
4851S3020,6,503.8647155761719,48.78865,51.177395,0.5024830102920532
4851S3020,7,647.8441772460938,62.939434,65.80135,0.17740154266357422
4851S3020,8,450.8166809082031,42.80702,45.789318,0.5823061466217041
4851S3020,9,360.6896667480469,34.385757,36.635147,0.728249728679657
4851S3020,10,395.59246826171875,36.31104,40.180214,0.6674857139587402
4851D3017,1,110.00102233886719,11.244931,10.609479,0.9794929623603821
4851D3017,2,110.31462860107422,10.072508,10.639726,0.9748277068138123
4851D3017,3,56.81045913696289,7.467441,5.4793067,0.9951143860816956
4851D3017,4,129.30516052246094,12.164775,12.471341,0.9709246754646301
4851D3017,5,121.43600463867188,7.6114984,11.71237,0.9414268732070923
4851D3017,6,87.84982299804688,9.354699,8.47302,0.9863579273223877
4851D3017,7,108.41486358642578,7.9388,10.456495,0.9729341268539429
4851D3017,8,91.91490936279297,9.384907,8.865092,0.9856456518173218
4851D3017,9,284.4082946777344,26.307089,27.430868,0.8474255800247192
4851D3017,10,195.59429931640625,15.442896,18.864857,0.9015353918075562
4821C3010,1,24.553089141845703,17.557817,14.390089,0.9382886290550232
4821C3010,2,21.776552200317383,20.838028,12.7628145,0.9394622445106506
4821C3010,3,26.6965274810791,20.937508,15.646317,0.9322865605354309
4821C3010,4,24.740882873535156,17.35467,14.500152,0.9360623359680176
4821C3010,5,38.294654846191406,25.597454,22.443754,0.8433767557144165
4821C3010,6,38.59294128417969,28.149569,22.618574,0.8715603351593018
4821C3010,7,26.23354721069336,19.51026,15.374973,0.9366195201873779
4821C3010,8,39.94971466064453,28.498352,23.413752,0.8578119277954102
4821C3010,9,43.067169189453125,22.029232,25.240833,0.8268347382545471
4821C3010,10,29.211929321289062,17.710913,17.120544,0.9175821542739868
4851D5010,1,272.39459228515625,26.086372,26.969763,0.8166611790657043
4851D5010,2,150.63316345214844,14.478893,14.914176,0.9601569771766663
4851D5010,3,143.32408142089844,15.625472,14.190505,0.9667588472366333
4851D5010,4,384.2226257324219,36.85808,38.041843,0.7263476848602295
4851D5010,5,136.7165985107422,15.277876,13.536299,0.9639488458633423
4851D5010,6,248.53701782226562,25.658167,24.607628,0.8868140578269958
4851D5010,7,159.1182098388672,15.594727,15.754279,0.9358273148536682
4851D5010,8,138.87155151367188,19.319565,13.749659,0.9633550643920898
4851D5010,9,157.2834930419922,14.529387,15.572624,0.946530282497406
4851D5010,10,305.90594482421875,30.107521,30.28772,0.8187581300735474
4821C3020,1,142.40609741210938,52.796143,47.932045,0.5237028002738953
4821C3020,2,144.41893005371094,52.36503,48.60954,0.5240248441696167
4821C3020,3,115.07708740234375,43.80336,38.733456,0.6121211051940918
4821C3020,4,113.0758056640625,44.158012,38.059853,0.6478948593139648
4821C3020,5,129.58901977539062,47.687576,43.617985,0.5595149993896484
4821C3020,6,112.09938049316406,46.531708,37.731197,0.6553162336349487
4821C3020,7,154.56149291992188,54.55176,52.0234,0.43642914295196533
4821C3020,8,128.91217041015625,45.27418,43.390163,0.5267701745033264
4821C3020,9,118.4256820678711,44.87034,39.86055,0.6570804119110107
4821C3020,10,107.5561752319336,46.79609,36.202015,0.7217378616333008
4848A5050,1,54.97455978393555,14.999838,12.619698,0.9625548720359802
4848A5050,2,59.630821228027344,12.890023,13.688567,0.9605453610420227
4848A5050,3,56.24832534790039,17.564104,12.912098,0.9538396000862122
4848A5050,4,82.23005676269531,19.751406,18.876339,0.9007132053375244
4848A5050,5,158.3226318359375,41.37258,36.34379,0.6788784265518188
4848A5050,6,107.4852523803711,26.69177,24.673803,0.7880141735076904
4848A5050,7,27.491291046142578,12.300809,6.31077,0.9892376661300659
4848A5050,8,64.06256103515625,10.990251,14.705896,0.9439693689346313
4848A5050,9,56.85021209716797,11.700909,13.050264,0.9512314796447754
4848A5050,10,104.47638702392578,24.252186,23.9831,0.7675439715385437
4851D5021,1,17.774044036865234,16.66957,7.425188,0.9908403754234314
4851D5021,2,52.263484954833984,25.14193,21.83331,0.9019061923027039
4851D5021,3,81.02779388427734,36.067017,33.84973,0.7134953141212463
4851D5021,4,40.54542541503906,24.981565,16.938036,0.9387413263320923
4851D5021,5,64.88294219970703,34.98811,27.105146,0.8772921562194824
4851D5021,6,45.54021453857422,24.70662,19.024633,0.9227203130722046
4851D5021,7,20.947450637817383,15.833616,8.750894,0.9821804165840149
4851D5021,8,23.573406219482422,17.27366,9.8478985,0.9817277193069458
4851D5021,9,42.58639907836914,24.761654,17.790663,0.9357300996780396
4851D5021,10,20.853591918945312,18.699806,8.711683,0.9852726459503174
4859C3020,1,5.659900665283203,8.113097,4.4174833,0.9966489672660828
4859C3020,2,7.9976701736450195,8.032372,6.242084,0.9910790324211121
4859C3020,3,10.651264190673828,10.731466,8.313182,0.9846433401107788
4859C3020,4,21.524459838867188,21.081017,16.799578,0.9312628507614136
4859C3020,5,7.278512001037598,11.4006815,5.68079,0.9927734732627869
4859C3020,6,15.013189315795898,20.154848,11.71761,0.9789365530014038
4859C3020,7,34.5928955078125,34.827976,26.999334,0.8589258193969727
4859C3020,8,12.82505989074707,10.779856,10.009803,0.974264919757843
4859C3020,9,12.89078140258789,14.176939,10.061098,0.9682132005691528
4859C3020,10,19.413591384887695,18.488968,15.152071,0.9282029271125793
4848A5010,1,55.60003662109375,20.256836,15.686531,0.9534972310066223
4848A5010,2,55.42585754394531,19.05233,15.637389,0.9541692137718201
4848A5010,3,52.49345016479492,18.88821,14.810064,0.951630175113678
4848A5010,4,81.55450439453125,27.100267,23.009108,0.8709703683853149
4848A5010,5,128.7320098876953,34.22686,36.319378,0.6611642837524414
4848A5010,6,59.58562469482422,25.747124,16.810991,0.946816623210907
4848A5010,7,43.96470642089844,17.667215,12.403835,0.9753178358078003
4848A5010,8,56.46576690673828,17.879614,15.93078,0.9406841397285461
4848A5010,9,57.60536575317383,22.873518,16.252296,0.9369344115257263
4848A5010,10,40.491268157958984,17.114323,11.423869,0.9649629592895508
4821C3050,1,73.07804107666016,62.04548,45.961025,0.6853681802749634
4821C3050,2,29.410058975219727,32.081364,18.49689,0.9393073916435242
4821C3050,3,40.26338195800781,40.766445,25.322878,0.8967210054397583
4821C3050,4,40.982093811035156,36.770943,25.774899,0.8589886426925659
4821C3050,5,38.530479431152344,40.506493,24.233002,0.9162522554397583
4821C3050,6,28.551151275634766,34.780155,17.956696,0.9305917024612427
4821C3050,7,38.763423919677734,41.39124,24.379509,0.9132710695266724
4821C3050,8,23.360246658325195,28.954268,14.6919775,0.9585292935371399
4821C3050,9,41.13356399536133,34.82471,25.870163,0.8677733540534973
4821C3050,10,31.160907745361328,36.19775,19.598051,0.935355007648468
4848A5020,1,33.41111755371094,18.826502,12.529169,0.9718055129051208
4848A5020,2,11.941595077514648,11.020479,4.478099,0.9968360662460327
4848A5020,3,22.79645538330078,16.218254,8.548671,0.9905000329017639
4848A5020,4,28.137189865112305,18.069279,10.551448,0.9857379794120789
4848A5020,5,91.08688354492188,37.55874,34.15758,0.7511199116706848
4848A5020,6,103.15544128417969,39.003033,38.683296,0.6715052723884583
4848A5020,7,96.52346801757812,41.045895,36.19631,0.7220475077629089
4848A5020,8,76.24113464355469,35.022705,28.59043,0.8642480373382568
4848A5020,9,88.1924819946289,34.640335,33.072186,0.7835847735404968
4848A5020,10,62.33195114135742,28.433094,23.374483,0.896816611289978
4859C3010,1,19.139360427856445,102.9288,18.929037,0.9207911491394043
4859C3010,2,17.77695083618164,95.239044,17.5816,0.9153779745101929
4859C3010,3,20.86539077758789,92.153465,20.6361,0.8907691240310669
4859C3010,4,15.737008094787598,97.829094,15.564074,0.9263757467269897
4859C3010,5,15.006404876708984,95.837906,14.8415,0.9272902607917786
4859C3010,6,18.92237663269043,93.992874,18.714437,0.9205822944641113
4859C3010,7,13.881271362304688,91.168076,13.72873,0.9363294839859009
4859C3010,8,22.49745750427246,93.91102,22.250233,0.8970097303390503
4859C3010,9,14.291646003723145,93.20356,14.134595,0.9289040565490723
4859C3010,10,13.125029563903809,92.84545,12.980798,0.9347250461578369
